magasin_id,taille,urbain,qualite_equipe,n_potentiel,mois,effet_saison_val,p_visite,nb_visites,ventes,panier_moyen,pub
0,moyen,1,1,150,1,-0.01,0.74,108,5950.450741589311,55.09676612582695,1
0,moyen,1,1,150,2,-0.01,0.64,91,4456.07618439452,48.96787015818154,0
0,moyen,1,1,150,3,0.0,0.65,99,5054.808008018248,51.058666747659075,0
0,moyen,1,1,150,4,0.01,0.76,111,6106.574569505789,55.01418531086297,1
0,moyen,1,1,150,5,0.02,0.67,109,5491.160760763021,50.37762165837634,0
0,moyen,1,1,150,6,0.02,0.77,115,6304.594024545692,54.82255673517993,1
0,moyen,1,1,150,7,0.02,0.77,114,6235.642979873938,54.69862263047314,1
0,moyen,1,1,150,8,0.01,0.76,106,5884.22263750903,55.511534316122926,1
0,moyen,1,1,150,9,0.0,0.65,92,4812.9258186398,52.314411072171744,0
0,moyen,1,1,150,10,-0.01,0.74,106,5924.920937291812,55.89548054048879,1
0,moyen,1,1,150,11,0.01,0.66,105,5142.1261661150265,48.972630153476445,0
0,moyen,1,1,150,12,0.02,0.77,108,6003.839105894741,55.591102832358715,1
0,moyen,1,1,150,13,-0.01,0.64,95,4864.978755689062,51.210302691463816,0
0,moyen,1,1,150,14,-0.01,0.64,101,5107.147696586538,50.565818778084534,0
0,moyen,1,1,150,15,0.0,0.65,101,4971.610483533491,49.22386617359892,0
0,moyen,1,1,150,16,0.01,0.76,119,6343.590725985845,53.307485092318025,1
0,moyen,1,1,150,17,0.02,0.67,101,4932.302328331814,48.834676518136774,0
0,moyen,1,1,150,18,0.02,0.77,115,6654.373305238138,57.86411569772294,1
0,moyen,1,1,150,19,0.02,0.67,96,4856.980323353528,50.59354503493258,0
0,moyen,1,1,150,20,0.01,0.76,110,6363.292493782226,57.84811357983842,1
0,moyen,1,1,150,21,0.0,0.75,106,5792.69820172196,54.648096242659996,1
0,moyen,1,1,150,22,-0.01,0.64,93,4555.29807003628,48.98169967780946,0
0,moyen,1,1,150,23,0.01,0.66,104,5182.820160021978,49.83480923098056,0
