magasin_id,taille,urbain,qualite_equipe,n_potentiel,mois,effet_saison_val,p_visite,nb_visites,ventes,panier_moyen,pub,log_rev_int
0,moyen,1,1,150,1,-0.04,0.71,106,5841.17029121737,55.10538010582424,1,3.662051153981897
0,moyen,1,1,150,2,-0.04,0.71,110,5942.604951717694,54.02368137925177,1,3.6792675661883107
0,moyen,1,1,150,3,0.0,0.75,117,6286.627928057508,53.731862632970156,1,3.7355448113771903
0,moyen,1,1,150,4,0.04,0.79,116,6300.686010117943,54.3162587079133,1,3.7377785028501402
0,moyen,1,1,150,5,0.08,0.83,122,6663.73475663213,54.62077669370598,1,3.7938000865321344
0,moyen,1,1,150,6,0.08,0.83,124,6519.695842148769,52.5781922753933,1,3.7719477097591163
0,moyen,1,1,150,7,0.08,0.83,125,7008.247812510173,56.06598250008139,1,3.8442076992689413
0,moyen,1,1,150,8,0.04,0.79,116,6405.303940555689,55.21813741858353,1,3.754246372747362
0,moyen,1,1,150,9,0.0,0.75,105,5744.104665813707,54.7057587220353,1,3.6452940382300145
0,moyen,1,1,150,10,-0.04,0.71,96,5266.777584291175,54.86226650303308,1,3.5585386963373784
0,moyen,1,1,150,11,0.04,0.79,107,5913.018158202958,55.26185194582204,1,3.6742763726149983
0,moyen,1,1,150,12,0.08,0.83,128,6938.1249591171945,54.20410124310308,1,3.8341515440981695
0,moyen,1,1,150,13,-0.04,0.71,110,5925.650145723243,53.86954677930221,1,3.6764103951232543
0,moyen,1,1,150,14,-0.04,0.71,109,5961.740173487768,54.69486397695199,1,3.6824823987640234
0,moyen,1,1,150,15,0.0,0.75,112,6194.005536189454,55.30362085883441,1,3.7207019602352425
0,moyen,1,1,150,16,0.04,0.79,114,6563.857541337102,57.57769773102721,1,3.778698454852176
0,moyen,1,1,150,17,0.08,0.83,124,6880.642007502226,55.4890484475986,1,3.825831947521484
0,moyen,1,1,150,18,0.08,0.83,125,7145.222680778944,57.16178144623155,1,3.863563961741328
0,moyen,1,1,150,19,0.08,0.83,122,6490.7127829349465,53.202563794548745,1,3.7674923374502765
0,moyen,1,1,150,20,0.04,0.79,121,6346.8762403669025,52.45352264766035,1,3.745082746102021
0,moyen,1,1,150,21,0.0,0.75,114,6287.948594446942,55.157443810938084,1,3.7357548647959953
0,moyen,1,1,150,22,-0.04,0.71,101,5517.295236766454,54.62668551253915,1,3.6050077317495095
0,moyen,1,1,150,23,0.04,0.79,108,6089.325231796625,56.38264103515394,1,3.703657261092402
0,moyen,1,1,150,24,0.08,0.83,118,6417.403395901033,54.38477454153418,1,3.756133565306449
1,moyen,1,1,150,1,-0.04,0.61,86,4253.228126091799,49.45614100106743,0,3.3447982385836195
1,moyen,1,1,150,2,-0.04,0.61,82,4005.699897369313,48.84999874840626,0,3.284838306035627
1,moyen,1,1,150,3,0.0,0.65,100,4982.482348385941,49.82482348385941,0,3.5030482152620785
1,moyen,1,1,150,4,0.04,0.6900000000000001,102,5046.5210659458835,49.47569672495964,0,3.5158190929415043
1,moyen,1,1,150,5,0.08,0.73,115,5740.634032895424,49.918556807786295,0,3.6446896478098267
1,moyen,1,1,150,6,0.08,0.73,119,5829.147414919533,48.984432058147334,0,3.6599907335453667
1,moyen,1,1,150,7,0.08,0.73,108,5565.66308774657,51.533917479134914,0,3.613736115749092
1,moyen,1,1,150,8,0.04,0.6900000000000001,109,5491.0237037362385,50.3763642544609,0,3.6002346900074347
1,moyen,1,1,150,9,0.0,0.65,100,5055.941344285952,50.55941344285952,0,3.517684040453877
1,moyen,1,1,150,10,-0.04,0.61,91,4620.578322342921,50.77558595981232,0,3.42763986014172
1,moyen,1,1,150,11,0.04,0.6900000000000001,105,5478.497437945983,52.17616607567603,0,3.5979508580929696
1,moyen,1,1,150,12,0.08,0.73,113,5511.163056690128,48.77135448398343,0,3.6038956668452187
1,moyen,1,1,150,13,-0.04,0.61,85,4406.059408941942,51.83599304637579,0,3.3801007168205994
1,moyen,1,1,150,14,-0.04,0.61,84,4241.189480971311,50.49035096394418,0,3.341963752751263
1,moyen,1,1,150,15,0.0,0.65,99,4966.601546334171,50.16769238721385,0,3.4998557976068874
1,moyen,1,1,150,16,0.04,0.6900000000000001,108,5409.590462118119,50.08880057516777,0,3.58529337471586
1,moyen,1,1,150,17,0.08,0.73,111,5696.552088562483,51.32028908614849,0,3.636981079959116
1,moyen,1,1,150,18,0.08,0.73,108,5404.117866620391,50.038128394633254,0,3.584281215741609
1,moyen,1,1,150,19,0.08,0.73,109,5355.524381039093,49.13325120219351,0,3.5752486076214702
1,moyen,1,1,150,20,0.04,0.6900000000000001,102,4857.29466036817,47.620535885962454,0,3.4776016135635572
1,moyen,1,1,150,21,0.0,0.65,96,4825.562287090968,50.26627382386425,0,3.4710472490716735
1,moyen,1,1,150,22,-0.04,0.61,86,4485.806584355556,52.160541678552974,0,3.3980383046633094
1,moyen,1,1,150,23,0.04,0.6900000000000001,95,4856.521717526255,51.121281237118474,0,3.4774424705833984
1,moyen,1,1,150,24,0.08,0.73,104,4929.206162444099,47.396213100424035,0,3.4922979381584627
2,grand,0,1,500,1,-0.04,0.51,276,15024.700488617213,54.43732061093193,1,3.4028427265806784
2,grand,0,1,500,2,-0.04,0.51,251,14007.733144636522,55.80770177146025,1,3.3327567251504826
2,grand,0,1,500,3,0.0,0.55,273,15102.874019044722,55.32188285364367,1,3.408032238656981
