magasin_id,taille,urbain,qualite_equipe,n_potentiel,mois,effet_saison_val,p_visite,nb_visites,ventes,panier_moyen,ventes_par_m2
0,moyen,1,1,150,1,-0.04,0.61,95,4781.417511829084,50.330710650832465,31.876116745527227
0,moyen,1,1,150,2,-0.04,0.61,86,4443.860265999418,51.6727937906909,29.625735106662784
0,moyen,1,1,150,3,0.0,0.65,100,5190.75277949521,51.9075277949521,34.60501852996807
0,moyen,1,1,150,4,0.04,0.6900000000000001,111,5594.739482881065,50.40305840433392,37.2982632192071
0,moyen,1,1,150,5,0.08,0.73,116,5781.483806735464,49.84037764427124,38.54322537823643
0,moyen,1,1,150,6,0.08,0.73,111,5691.373353137937,51.27363381205348,37.94248902091958
0,moyen,1,1,150,7,0.08,0.73,114,5555.198750283297,48.72981359897629,37.034658335221984
0,moyen,1,1,150,8,0.04,0.6900000000000001,108,5288.081068454206,48.9637135967982,35.2538737896947
0,moyen,1,1,150,9,0.0,0.65,98,4892.0853028823685,49.91923778451397,32.61390201921579
0,moyen,1,1,150,10,-0.04,0.61,92,4349.462346335227,47.27676463407856,28.996415642234847
0,moyen,1,1,150,11,0.04,0.6900000000000001,107,5478.410681133037,51.20009982367324,36.52273787422025
0,moyen,1,1,150,12,0.08,0.73,116,5644.436500627539,48.65893535023741,37.62957667085026
0,moyen,1,1,150,13,-0.04,0.61,93,4581.796578775398,49.266629879305356,30.545310525169324
0,moyen,1,1,150,14,-0.04,0.61,95,4718.818114644479,49.67176962783662,31.45878743096319
0,moyen,1,1,150,15,0.0,0.65,114,5706.292027022735,50.055193219497674,38.041946846818234
0,moyen,1,1,150,16,0.04,0.6900000000000001,100,4948.452008536544,49.48452008536544,32.989680056910295
0,moyen,1,1,150,17,0.08,0.73,110,5489.401097433148,49.90364634030134,36.596007316220984
0,moyen,1,1,150,18,0.08,0.73,114,5690.450266544763,49.91623040828739,37.936335110298415
0,moyen,1,1,150,19,0.08,0.73,117,5777.469313225003,49.380079600213705,38.51646208816669
0,moyen,1,1,150,20,0.04,0.6900000000000001,101,4933.442378046856,48.84596413907778,32.88961585364571
0,moyen,1,1,150,21,0.0,0.65,98,5060.590684573537,51.63868045483201,33.73727123049025
0,moyen,1,1,150,22,-0.04,0.61,97,4539.110112216295,46.794949610477275,30.26073408144197
0,moyen,1,1,150,23,0.04,0.6900000000000001,90,4470.726219673785,49.67473577415316,29.804841464491897
0,moyen,1,1,150,24,0.08,0.73,111,5475.897562789986,49.33241047558546,36.50598375193324
1,moyen,1,1,150,1,-0.04,0.61,88,4458.929185682654,50.669649837302885,29.726194571217693
1,moyen,1,1,150,2,-0.04,0.61,91,4341.903963659336,47.713230369882815,28.946026424395573
1,moyen,1,1,150,3,0.0,0.65,95,4676.930425935227,49.230846588791856,31.17953617290151
1,moyen,1,1,150,4,0.04,0.6900000000000001,101,5034.569461071879,49.84722238685029,33.56379640714586
1,moyen,1,1,150,5,0.08,0.73,103,5312.900915574748,51.58156228713348,35.419339437164986
1,moyen,1,1,150,6,0.08,0.73,113,5702.967619507506,50.46873999564165,38.01978413005004
1,moyen,1,1,150,7,0.08,0.73,116,5608.801628115113,48.35173817340615,37.392010854100754
1,moyen,1,1,150,8,0.04,0.6900000000000001,101,4976.513794129978,49.27241380326711,33.17675862753319
1,moyen,1,1,150,9,0.0,0.65,95,4879.542404699853,51.36360425999845,32.53028269799902
1,moyen,1,1,150,10,-0.04,0.61,94,4525.370836075189,48.14224293697009,30.169138907167927
1,moyen,1,1,150,11,0.04,0.6900000000000001,111,5537.571468281734,49.88803124578139,36.917143121878226
1,moyen,1,1,150,12,0.08,0.73,116,5798.526545800911,49.98729780862854,38.65684363867274
1,moyen,1,1,150,13,-0.04,0.61,94,4643.89541693269,49.40314273332649,30.959302779551265
1,moyen,1,1,150,14,-0.04,0.61,86,4674.990603883443,54.36035585910981,31.166604025889622
1,moyen,1,1,150,15,0.0,0.65,98,4838.71250510528,49.37461739903347,32.258083367368535
1,moyen,1,1,150,16,0.04,0.6900000000000001,112,5671.398005604112,50.637482192893856,37.80932003736075
1,moyen,1,1,150,17,0.08,0.73,112,5478.353468390574,48.91387025348727,36.52235645593716
1,moyen,1,1,150,18,0.08,0.73,111,5633.402551687035,50.75137433952284,37.5560170112469
1,moyen,1,1,150,19,0.08,0.73,101,5181.269605611651,51.299699065461894,34.54179737074434
1,moyen,1,1,150,20,0.04,0.6900000000000001,98,4812.691794929834,49.10909994826361,32.08461196619889
1,moyen,1,1,150,21,0.0,0.65,96,4791.960507882635,49.91625529044412,31.946403385884235
1,moyen,1,1,150,22,-0.04,0.61,94,4569.79910878243,48.6148841359833,30.46532739188287
1,moyen,1,1,150,23,0.04,0.6900000000000001,110,5319.960873406363,48.36328066733057,35.466405822709085
1,moyen,1,1,150,24,0.08,0.73,114,5866.0491894623,51.456571837388594,39.10699459641533
2,grand,0,1,500,1,-0.04,0.41000000000000003,200,9882.478652314574,49.41239326157287,19.76495730462915
2,grand,0,1,500,2,-0.04,0.41000000000000003,217,10316.679053138429,47.542299784048055,20.63335810627686
2,grand,0,1,500,3,0.0,0.45,221,11443.658589789042,51.781260587280734,22.887317179578083
2,grand,0,1,500,4,0.04,0.49,258,12706.746621070832,49.25095589562338,25.413493242141662
2,grand,0,1,500,5,0.08,0.53,279,13888.271382617599,49.7787504753319,27.7765427652352
2,grand,0,1,500,6,0.08,0.53,269,13853.693015818078,51.50071753092222,27.707386031636158
2,grand,0,1,500,7,0.08,0.53,266,13265.323846051037,49.86963851898886,26.53064769210207
2,grand,0,1,500,8,0.04,0.49,254,12660.952643788378,49.846270251135344,25.321905287576755
2,grand,0,1,500,9,0.0,0.45,223,10874.89197949203,48.766331746601026,21.749783958984057
2,grand,0,1,500,10,-0.04,0.41000000000000003,203,9800.608078267573,48.278857528411685,19.601216156535145
2,grand,0,1,500,11,0.04,0.49,245,12210.934645193283,49.84054957221748,24.421869290386567
2,grand,0,1,500,12,0.08,0.53,272,13689.754181231036,50.32997860746704,27.379508362462072
2,grand,0,1,500,13,-0.04,0.41000000000000003,205,10315.616871875694,50.320082301832656,20.631233743751388
2,grand,0,1,500,14,-0.04,0.41000000000000003,216,10693.90403278109,49.50881496657912,21.387808065562183
2,grand,0,1,500,15,0.0,0.45,230,11504.608371076554,50.02003639598502,23.009216742153107
2,grand,0,1,500,16,0.04,0.49,240,11573.070977076539,48.22112907115225,23.146141954153077
2,grand,0,1,500,17,0.08,0.53,266,13412.576454745675,50.42321975468299,26.82515290949135
2,grand,0,1,500,18,0.08,0.53,259,12988.963718610441,50.15043906799398,25.97792743722088
2,grand,0,1,500,19,0.08,0.53,243,12611.494927660931,51.89915608090918,25.222989855321863
2,grand,0,1,500,20,0.04,0.49,242,12101.745339874582,50.007212148242076,24.203490679749162
2,grand,0,1,500,21,0.0,0.45,219,10740.746512858554,49.044504624924905,21.481493025717107
2,grand,0,1,500,22,-0.04,0.41000000000000003,229,11438.486295470371,49.9497218142811,22.876972590940742
2,grand,0,1,500,23,0.04,0.49,244,12123.19405154492,49.68522152272509,24.246388103089842
2,grand,0,1,500,24,0.08,0.53,253,12753.716779051914,50.4099477432882,25.507433558103827
3,moyen,1,0,150,1,-0.04,0.41000000000000003,64,3203.2270474070224,50.050422615734725,21.354846982713482
3,moyen,1,0,150,2,-0.04,0.41000000000000003,60,2853.607422291424,47.56012370485707,19.024049481942825
3,moyen,1,0,150,3,0.0,0.45,71,3343.2547309481383,47.08809480208645,22.28836487298759
3,moyen,1,0,150,4,0.04,0.49,75,3784.152777351525,50.455370364687,25.2276851823435
3,moyen,1,0,150,5,0.08,0.53,75,3929.6718493364424,52.39562465781923,26.197812328909617
3,moyen,1,0,150,6,0.08,0.53,74,3710.238644617967,50.13836006240496,24.734924297453116
3,moyen,1,0,150,7,0.08,0.53,83,4261.142372844758,51.33906473306937,28.407615818965052
3,moyen,1,0,150,8,0.04,0.49,73,3779.8016781021115,51.77810517948098,25.198677854014075
3,moyen,1,0,150,9,0.0,0.45,66,3332.511408019194,50.492597091199904,22.216742720127957
3,moyen,1,0,150,10,-0.04,0.41000000000000003,56,2708.573557239366,48.36738495070296,18.05715704826244
3,moyen,1,0,150,11,0.04,0.49,71,3574.685427647593,50.34768207954356,23.831236184317287
3,moyen,1,0,150,12,0.08,0.53,81,4212.954839826065,52.011788146000804,28.086365598840434
3,moyen,1,0,150,13,-0.04,0.41000000000000003,71,3616.974057014794,50.94329657767316,24.113160380098627
3,moyen,1,0,150,14,-0.04,0.41000000000000003,71,3644.5724098863393,51.33200577304703,24.29714939924226
3,moyen,1,0,150,15,0.0,0.45,62,3045.36860876236,49.11884852842516,20.302457391749066
3,moyen,1,0,150,16,0.04,0.49,69,3424.7868514582046,49.63459205011891,22.831912343054697
3,moyen,1,0,150,17,0.08,0.53,77,3834.3725811255767,49.797046508124374,25.56248387417051
3,moyen,1,0,150,18,0.08,0.53,80,3993.11228418992,49.913903552374,26.620748561266133
3,moyen,1,0,150,19,0.08,0.53,78,4054.7269282329016,51.98367856708848,27.03151285488601
3,moyen,1,0,150,20,0.04,0.49,69,3157.543660466577,45.761502325602564,21.05029106977718
3,moyen,1,0,150,21,0.0,0.45,66,3303.7214153885297,50.05638508164439,22.024809435923533
3,moyen,1,0,150,22,-0.04,0.41000000000000003,60,2990.7633558254993,49.84605593042499,19.938422372169995
3,moyen,1,0,150,23,0.04,0.49,68,3230.3546778451177,47.5052158506635,21.535697852300785
3,moyen,1,0,150,24,0.08,0.53,81,4140.688574239308,51.11961202764578,27.60459049492872
4,petit,0,1,30,1,-0.04,0.41000000000000003,14,659.337527576352,47.095537684025146,21.9779175858784
4,petit,0,1,30,2,-0.04,0.41000000000000003,13,630.6905071361364,48.51465439508741,21.02301690453788
4,petit,0,1,30,3,0.0,0.45,12,696.0655258903236,58.005460490860294,23.202184196344117
4,petit,0,1,30,4,0.04,0.49,18,964.2743294767913,53.57079608204396,32.14247764922638
4,petit,0,1,30,5,0.08,0.53,18,936.5601249335353,52.031118051863075,31.218670831117844
4,petit,0,1,30,6,0.08,0.53,17,873.5497528200668,51.38527957765099,29.118325094002227
4,petit,0,1,30,7,0.08,0.53,12,591.4429750239925,49.28691458533271,19.714765834133082
